ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
12,Kopi,0.4636978,0,0,0,0,0.080829,0.175755,0,0.204057,0,0,0,0,0,0,1.78E-05,0.000163,0,0,0.002876,0,0,0,0,0,0,0
13,Lada,2.953328,0,0,0,0,0.514804,1.119398,0,1.299656,0,0,0,0,0,0,0.000113,0.001041,0,0,0.018316,0,0,0,0,0,0,0
14,Tan.Perkeb.lainnya,2.5884302,0,0,0,0,0.451198,0.981091,0,1.139077,0,0,0,0,0,0,9.92E-05,0.000912,0,0,0.016053,0,0,0,0,0,0,0
15,Unggas dan hasilnya,7.376072,0,0,0,0,1.285747,2.795748,0,3.245949,0,0,0,0,0,0,0.000283,0.0026,0,0,0.045745,0,0,0,0,0,0,0
16,Peternakan lainnya,3.488071,0,0,0,0,0.608017,1.322082,0,1.534977,0,0,0,0,0,0,0.000134,0.001229,0,0,0.021632,0,0,0,0,0,0,0
17,Kayu,6.305522,0,0,0,0,1.099136,2.389979,0,2.774838,0,0,0,0,0,0,0.000242,0.002222,0,0,0.039105,0,0,0,0,0,0,0
18,Hasil Hutan lainnya,4.943018,0,0,0,0,0.861634,1.87355,0,2.175248,0,0,0,0,0,0,1.89E-04,0.001742,0,0,0.030655,0,0,0,0,0,0,0
19,Perikanan Tangkap,12.17212,0,0,0,0,2.121762,4.613592,0,5.35652,0,0,0,0,0,0,0.000467,0.00429,0,0,0.075489,0,0,0,0,0,0,0
20,Perikanan Budidaya,15.306891,0,0,0,0,2.668195,5.801762,0,6.736022,0,0,0,0,0,0,5.87E-04,5.40E-03,0,0,0.09493,0,0,0,0,0,0,0
21,Pertambangan dan Penggalian,914.96343,527.0864,0.062953,0,0,1.92265,4.180638,0,75.04736,3.649626,0,1.007469,301.1851,0,0,0.000423,0.003888,0,0,0.816923,0,0,0,0,0,0,0
