ID,Sektor,TOTAL,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
13,Pinang,0.026,0,0,0,0,0.004,0.01,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tanaman Perkebunan Lainnya,0.238,0,0,0,0,0.041,0.09,0,0.105,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
15,Sagu,0.004,0,0,0,0,0.001,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ternak Besar,3.007,0,0,0,0,0.524,1.14,0,1.323,0,0,0,0,0,0,0,0.001,0,0,0.019,0,0,0,0,0,0,0
17,Ternak Kecil Lainnya,0.257,0,0,0,0,0.045,0.097,0,0.113,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0
18,Babi,4.661,0,0,0,0,0.812,1.767,0,2.051,0,0,0,0,0,0,0,0.002,0,0,0.029,0,0,0,0,0,0,0
19,Unggas Dan Hasil-Hasilnya,5.316,0,0,0,0,0.927,2.015,0,2.34,0,0,0,0,0,0,0,0.002,0,0,0.033,0,0,0,0,0,0,0
20,Jasa Pertanian Dan Perburuan,2.106,0,0,0,0,0.367,0.798,0,0.927,0,0,0,0,0,0,0,0.001,0,0,0.013,0,0,0,0,0,0,0
21,Kayu,18.505,0,0,0,0,3.226,7.014,0,8.143,0,0,0,0,0,0,0.001,0.007,0,0,0.115,0,0,0,0,0,0,0
22,Hasil Hutan Lainnya,6.952,0,0,0,0,1.212,2.635,0,3.059,0,0,0,0,0,0,0,0.002,0,0,0.043,0,0,0,0,0,0,0
23,Ikan Laut,83.872,0,0,0,0,14.62,31.79,0,36.909,0,0,0,0,0,0,0.003,0.03,0,0,0.52,0,0,0,0,0,0,0
24,Hasil Perikanan Laut Lainnya,1.653,0,0,0,0,0.288,0.627,0,0.727,0,0,0,0,0,0,0,0.001,0,0,0.01,0,0,0,0,0,0,0
25,Perikanan Darat,0.489,0,0,0,0,0.085,0.185,0,0.215,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0
26,Bijih Tembaga,10272.472,5917.701,0.707,0,0,21.586,46.937,0,842.571,40.975,0,11.311,3381.464,0,0,0.005,0.044,0,0,9.172,0,0,0,0,0,0,0
27,Bijih Logam Mulia,4839.642,2787.99,0.333,0,0,10.17,22.113,0,396.958,19.304,0,5.329,1593.1,0,0,0.002,0.021,0,0,4.321,0,0,0,0,0,0,0
28,Barang Pertambangan Dan Penggalian Lainnya,825.34,475.457,0.057,0,0,1.734,3.771,0,67.696,3.292,0,0.909,271.683,0,0,0,0.004,0,0,0.737,0,0,0,0,0,0,0
29,"Industri Pengolahan, Pengawetan Produk Daging  dan Unggas",134.399,14.629,0.01,0,0,0.768,1.669,0,9.635,1.129,0,3.049,15.369,0,0,0,0.002,0,83.153,4.986,0,0,0,0,0,0,0
30,Industri Tempe Kedelai,10.816,1.177,0.001,0,0,0.062,0.134,0,0.775,0.091,0,0.245,1.237,0,0,0,0,0,6.692,0.401,0,0,0,0,0,0,0
31,Industri Penggilingan Pengupasan Dan Pembersihan Padi-Padian Dan Biji-Bijian,218.44,23.777,0.016,0,0,1.248,2.713,0,15.66,1.835,0,4.956,24.98,0,0,0,0.003,0,135.149,8.103,0,0,0,0,0,0,0
32,Industri Penggilingan Beras Dan Jagung Dan Industri Tepung Beras Dan Jagung,128.255,13.96,0.009,0,0,0.733,1.593,0,9.195,1.078,0,2.91,14.667,0,0,0,0.001,0,79.351,4.758,0,0,0,0,0,0,0
33,Industri Produk Roti Dan Kue,2.311,0.252,0,0,0,0.013,0.029,0,0.166,0.019,0,0.052,0.264,0,0,0,0,0,1.43,0.086,0,0,0,0,0,0,0
34,Industri Gula,1.042,0.113,0,0,0,0.006,0.013,0,0.075,0.009,0,0.024,0.119,0,0,0,0,0,0.645,0.039,0,0,0,0,0,0,0
35,Industri Kue Basah,47.242,5.142,0.003,0,0,0.27,0.587,0,3.387,0.397,0,1.072,5.402,0,0,0,0.001,0,29.229,1.752,0,0,0,0,0,0,0
36,Industri Makanan Dari Kedele Dan Kacang-Kacangan Lainnya Bukan Kecap Tempe Dan Tahu,2.311,0.252,0,0,0,0.013,0.029,0,0.166,0.019,0,0.052,0.264,0,0,0,0,0,1.43,0.086,0,0,0,0,0,0,0
37,Kerupuk Keripik Peyek,6.707,0.73,0,0,0,0.038,0.083,0,0.481,0.056,0,0.152,0.767,0,0,0,0,0,4.15,0.249,0,0,0,0,0,0,0
38,Industri Makanan Lainnya,260.802,28.388,0.019,0,0,1.49,3.24,0,18.697,2.191,0,5.917,29.824,0,0,0,0.003,0,161.358,9.674,0,0,0,0,0,0,0
39,Air Minum Dan Mineral,20.844,2.269,0.002,0,0,0.119,0.259,0,1.494,0.175,0,0.473,2.384,0,0,0,0,0,12.896,0.773,0,0,0,0,0,0,0
40,Minum Lainnya,0.86,0.094,0,0,0,0.005,0.011,0,0.062,0.007,0,0.02,0.098,0,0,0,0,0,0.532,0.032,0,0,0,0,0,0,0
41,Tekstil Dan Pakaian Jadi,96.356,22.152,0.015,0,0,0.981,2.134,0,18.153,1.133,0,0.466,37.506,0,0,0,0.002,0,1.648,12.166,0,0,0,0,0,0,0
42,"Kulit, Barang Dari Kulit Dan Alas Kaki ",4.147,0.007,0,0,0,0.172,0.374,0,0.69,0.043,0,0.018,2.136,0,0,0,0,0,0.013,0.693,0,0,0,0,0,0,0
43,"Kayu Olahan, Barang Dari Kayu, Gabus, Barang Anyaman Dari Bambu, Rotan, Dan Sejenisnya ",1523.242,1.626,0.329,0,0,56.927,123.782,0,122.686,5.574,0,18.073,698.477,0,0,0.013,0.115,0,269.069,226.571,0,0,0,0,0,0,0
44,"Barang Kimia, Farmasi, Dan Obat Tradisional",0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Furniture,0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Kertas, Barang Dari Kertas, Barang Percetakan, Dan Reproduksi Media Rekaman ",91.317,23.091,0.016,0,0,0.563,1.225,0,7.341,0.334,0,1.081,42.576,0,0,0,0.001,0,1.278,13.811,0,0,0,0,0,0,0
47,"Karet, Barang Dari Karet, Dan Plastik",75.801,0.874,0.001,0,0,2.604,5.662,0,7.468,0.339,0,7.454,38.701,0,0,0.001,0.005,0,0.139,12.554,0,0,0,0,0,0,0
48,Barang Galian Bukan Logam,272.233,148.111,0.966,0,0,0.987,2.146,0,28.742,9.224,0,6.048,57.344,0,0,0,0.002,0,0.063,18.601,0,0,0,0,0,0,0
49,"Barang Dari Logam, Komputer, Barang Elektronik, Optik Dan Peralatan Listrik",22.187,1.411,0.001,0,0,0.078,0.169,0,0.753,0.036,0,0.79,14.289,0,0,0,0,0,0.027,4.635,0,0,0,0,0,0,0
50,Alat Angkutan,0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Barang Industri Pengolahan Lainnya, Jasa Reparasi, Dan Pemasangan Mesin Dan Peralatan",0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ketenagalistrikan ,139.104,29.997,0,0,0,0.014,0.03,0,15.325,7.265,0,0.243,36.951,0,0,0,0,0,0,1.886,0,0,2.574,44.82,0,0,0
53,"Pengadaan Air, Pengolahan Sampah Dan Daur Ulang",53.866,11.616,0,0,0,0.005,0.012,0,5.934,2.813,0,0.094,14.309,0,0,0,0,0,0,0.73,0,0,0.997,17.356,0,0,0
54,"Hasil Gas Alam Dan Buatan, Pengadaan Uap Air/Air Panas, Udara Dingin Dan Produk Es",4.261,0.919,0,0,0,0,0.001,0,0.469,0.223,0,0.007,1.132,0,0,0,0,0,0,0.058,0,0,0.079,1.373,0,0,0
55,Konstruksi,10273.94,0,0,0,0,268.406,583.625,0,770.254,281.179,0,7141.476,206.38,0,0,0.059,0.543,0,955.072,66.946,0,0,0,0,0,0,0
56,"Perdagangan Mobil, Sepeda Motor, Dan Reparasinya",293.222,0,0,0,0,41.718,90.713,0,28.581,6.616,0,17.573,3.387,0,0,0.009,0.084,0,8.77,95.77,0,0,0,0,0,0,0
57,Perdagangan Besar Dan Eceran,1384.035,0,0,0,0,196.915,428.174,0,134.905,31.226,0,82.947,15.989,0,0,0.043,0.398,0,41.397,452.042,0,0,0,0,0,0,0
58,Jasa Angkutan Darat Jalan Raya,10322.578,0,0,0,0,10285.59,0,0,0,0,0,0,16.191,0,0,0,20.798,0,0,0,0,0,0,0,0,0,0
59,Jasa Angkutan Laut Untuk Penumpang,754.587,0,0,0,0,0,0,0,641.864,112.446,0,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Jasa Angkutan Laut Untuk Barang,4976.849,0,0,0,0,0,0,0,4233.388,741.631,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Penumpang,43.538,0,0,0,0,0,0,0,37.034,6.488,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Barang,477.272,0,0,0,0,0,0,0,405.975,71.121,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Jasa Angkutan Udara Untuk Penumpang,9575.354,0,0,0,0,0,0,9575.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Jasa Angkutan Udara Untuk Barang,90.008,0,0,0,0,0,0,90.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jasa Penunjang Angkutan,850.367,0,0,0,0,789.222,0,0,2.787,0.645,0,1.714,1.859,0,0,0,1.596,0,0,52.544,0,0,0,0,0,0,0
66,Penyediaan Akomodasi,39.461,0,0,0,0,5.211,11.331,0,4.51,1.044,0,2.773,0.451,0,0,0.001,0.011,0,1.377,12.752,0,0,0,0,0,0,0
67,Penyediaan Makan Dan Minum,65.237,0,0,0,0,8.615,18.733,0,7.455,1.726,0,4.584,0.746,0,0,0.002,0.017,0,2.276,21.082,0,0,0,0,0,0,0
68,Jasa Informasi Dan Komunikasi ,294.87,0,0,0,0,199.721,0,0,9.342,2.162,0,5.744,2.648,0,0,0,0.404,0,0,74.849,0,0,0,0,0,0,0
69,Jasa Keuangan Perbankan,45.238,0,0,0,0,7.478,16.261,0,3.878,0.898,0,2.384,0.489,0,0,0.002,0.015,0,0,13.834,0,0,0,0,0,0,0
70,Jasa Keuangan Lainnya,9.399,0,0,0,0,1.554,3.378,0,0.806,0.186,0,0.495,0.102,0,0,0,0.003,0,0,2.874,0,0,0,0,0,0,0
71,Jasa Asuransi Dan Dana Pensiun,0.708,0,0,0,0,0.117,0.255,0,0.061,0.014,0,0.037,0.008,0,0,0,0,0,0,0.217,0,0,0,0,0,0,0
72,Jasa Penunjang Keuangan,0.027,0,0,0,0,0.004,0.01,0,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0
73,Jasa Real Estate,2.922,0,0,0,0,0.082,0.179,0,0.464,0.107,0,0.285,0.062,0,0,0,0,0,0.003,1.739,0,0,0,0,0,0,0
74,Jasa Hukum Dan Akuntansi,23.042,0,0,0,0,3.461,7.526,0,0.897,0.208,0,0.552,0.351,0,0,0.001,0.007,0,0.111,9.928,0,0,0,0,0,0,0
75,"Jasa Ahli, Teknis Dan Jasa Bisnis Lainnya ",0.955,0,0,0,0,0.143,0.312,0,0.037,0.009,0,0.023,0.015,0,0,0,0,0,0.005,0.411,0,0,0,0,0,0,0
76,Jasa Persewaan,57.73,0,0,0,0,8.672,18.856,0,2.249,0.52,0,1.383,0.88,0,0,0.002,0.018,0,0.277,24.874,0,0,0,0,0,0,0
77,Jasa Pendukung,3.17,0,0,0,0,0.476,1.035,0,0.123,0.029,0,0.076,0.048,0,0,0,0.001,0,0.015,1.366,0,0,0,0,0,0,0
78,Pemerintahan Umum,696.137,0,0,0,0,94.211,204.853,0,104.311,24.145,0,64.136,6.884,0,0,0.021,0.19,0,2.752,194.635,0,0,0,0,0,0,0
79,Jasa Pendidikan Pemerintah,54.838,0,0,0,0,13.089,28.461,0,1.097,0.254,0,0.674,0.179,0,0,0.003,0.026,0,5.986,5.069,0,0,0,0,0,0,0
80,Jasa Pendidikan Swasta,13.73,0,0,0,0,3.277,7.126,0,0.275,0.064,0,0.169,0.045,0,0,0.001,0.007,0,1.499,1.269,0,0,0,0,0,0,0
81,Jasa Kesehatan Dan Kegiatan Sosial Pemerintah,102.864,0,0,0,0,22.193,48.257,0,4.041,0.935,0,2.484,0.706,0,0,0.005,0.045,0,4.231,19.967,0,0,0,0,0,0,0
82,Jasa Kesehatan Swasta,112.415,0,0,0,0,24.254,52.737,0,4.416,1.022,0,2.715,0.772,0,0,0.005,0.049,0,4.623,21.821,0,0,0,0,0,0,0
83,"Kesenian, Hiburan Dan Rekreasi",6.46,0,0,0,0,0.97,2.11,0,0.252,0.058,0,0.155,0.098,0,0,0,0.002,0,0.031,2.783,0,0,0,0,0,0,0
84,Jasa Lainnya,78.799,0,0,0,0,11.837,25.738,0,3.069,0.71,0,1.887,1.201,0,0,0.003,0.024,0,0.378,33.952,0,0,0,0,0,0,0
