ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
24,Hasil Perikanan Laut Lainnya,722.3975,0.4046625,0.009592,0,0,1.09918325,1.48406225,371.64204,0,0,8.56086,339.1971,0,0,0
25,Perikanan Darat,625.004676,0,0,164.062338,0,0,164.062338,153.368208,0,0,3.532872,139.97892,0,0,0
26,Bijih Tembaga,2897028.096,2892975.336,0,0,0,0,0,2093.655816,0,0,48.227844,1910.87634,0,0,0
27,Bijih Logam Mulia,3079.674518,1229.514518,0,0,0,0,0,955.792656,0,0,22.016904,872.35044,0,0,0
28,Barang Pertambangan Dan Penggalian Lainnya,123990917.8,123990678.3,0,0,0,0,0,123.736032,0,0,2.850288,112.93368,0,0,0
29,"Industri Pengolahan, Pengawetan Produk Daging  dan Unggas",8.194,0.00459,0.0001088,0,0,0.0124678,0.0168334,4.215456,0,0,0.097104,3.84744,0,0,0
30,Industri Tempe Kedelai,1.205,0.000675,0.000016,0,0,0.0018335,0.0024755,0.61992,0,0,0.01428,0.5658,0,0,0
31,Industri Penggilingan Pengupasan Dan Pembersihan Padi-Padian Dan Biji-Bijian,11.327,0.006345,0.0001504,0,0,0.0172349,0.0232697,5.827248,0,0,0.134232,5.31852,0,0,0
32,Industri Penggilingan Beras Dan Jagung Dan Industri Tepung Beras Dan Jagung,14.46,0.0081,0.000192,0,0,0.022002,0.029706,7.43904,0,0,0.17136,6.7896,0,0,0
33,Industri Produk Roti Dan Kue,0.241,0.000135,0.0000032,0,0,0.0003667,0.0004951,0.123984,0,0,0.002856,0.11316,0,0,0
34,Industri Gula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Industri Kue Basah,15.3035,0.0085725,0.0002032,0,0,0.02328545,0.03143885,7.872984,0,0,0.181356,7.18566,0,0,0
36,Industri Makanan Dari Kedele Dan Kacang-Kacangan Lainnya Bukan Kecap Tempe Dan Tahu,0.241,0.000135,0.0000032,0,0,0.0003667,0.0004951,0.123984,0,0,0.002856,0.11316,0,0,0
37,Kerupuk Keripik Peyek,0.482,0.00027,0.0000064,0,0,0.0007334,0.0009902,0.247968,0,0,0.005712,0.22632,0,0,0
38,Industri Makanan Lainnya,4.4585,0.0024975,0.0000592,0,0,0.00678395,0.00915935,2.293704,0,0,0.052836,2.09346,0,0,0
39,Air Minum Dan Mineral,3.2535,0.0018225,0.0000432,0,0,0.00495045,0.00668385,1.673784,0,0,0.038556,1.52766,0,0,0
40,Minum Lainnya,0.241,0.000135,0.0000032,0,0,0.0003667,0.0004951,0.123984,0,0,0.002856,0.11316,0,0,0
41,Tekstil Dan Pakaian Jadi,3.2535,0.0018225,0.0000432,0,0,0.00495045,0.00668385,1.673784,0,0,0.038556,1.52766,0,0,0
42,"Kulit, Barang Dari Kulit Dan Alas Kaki ",0.241,0.000135,0.0000032,0,0,0.0003667,0.0004951,0.123984,0,0,0.002856,0.11316,0,0,0
43,"Kayu Olahan, Barang Dari Kayu, Gabus, Barang Anyaman Dari Bambu, Rotan, Dan Sejenisnya ",65.793,0.036855,0.0008736,0,0,0.1001091,0.1351623,33.847632,0,0,0.779688,30.89268,0,0,0
44,"Barang Kimia, Farmasi, Dan Obat Tradisional, Bbm",0.1205,0.0000675,0.0000016,0,0,0.00018335,0.00024755,0.061992,0,0,0.001428,0.05658,0,0,0
45,Furniture,9.158,0.00513,0.0001216,0,0,0.0139346,0.0188138,4.711392,0,0,0.108528,4.30008,0,0,0
46,"Kertas, Barang Dari Kertas, Barang Percetakan, Dan Reproduksi Media Rekaman ",6.3865,0.0035775,0.0000848,0,0,0.00971755,0.01312015,3.285576,0,0,0.075684,2.99874,0,0,0
47,"Karet, Barang Dari Karet, Dan Plastik",156.35,0,0,0,0,0,76.55,0,0,0,0,79.8,0,0,0
48,Barang Galian Bukan Logam,7.8325,0.0043875,0.000104,0,0,0.01191775,0.01609075,4.02948,0,0,0.09282,3.6777,0,0,0
49,"Barang Dari Logam, Komputer, Barang Elektronik, Optik Dan Peralatan Listrik",3.133,0.001755,0.0000416,0,0,0.0047671,0.0064363,1.611792,0,0,0.037128,1.47108,0,0,0
50,Alat Angkutan,1.205,0.000675,0.000016,0,0,0.0018335,0.0024755,0.61992,0,0,0.01428,0.5658,0,0,0
51,"Barang Industri Pengolahan Lainnya, Jasa Reparasi, Dan Pemasangan Mesin Dan Peralatan",4.6995,0.0026325,0.0000624,0,0,0.00715065,0.00965445,2.417688,0,0,0.055692,2.20662,0,0,0
52,Ketenagalistrikan ,1.621673612,0,0.012121707,1.585835521,0,0,0.023716384,0,0,0,0,0,0,0,0
53,"Pengadaan Air, Pengolahan Sampah Dan Daur Ulang",189536.153,171.411255,4.0630816,10866.96,0,465.6037571,628.6349063,91644.57137,0,0,2111.053812,83643.85482,0,0,0
54,"Hasil Gas Alam Dan Buatan, Pengadaan Uap Air/Air Panas, Udara Dingin Dan Produk Es",0.1205,0.0000675,0.0000016,0,0,0.00018335,0.00024755,0.061992,0,0,0.001428,0.05658,0,0,0
55,Konstruksi,1189.9375,0.6665625,0.0158,0,0,1.81058125,2.44455625,612.171,0,0,14.1015,558.7275,0,0,0
56,"Perdagangan Mobil, Sepeda Motor, Dan Reparasinya",629.3715,0.3525525,0.0083568,0,0,0.95763705,1.29295365,323.784216,0,0,7.458444,295.51734,0,0,0
57,Perdagangan Besar Dan Eceran,5441.298,3.04803,0.0722496,0,0,8.2793526,11.1783678,2799.310752,0,0,64.482768,2554.92648,0,0,0
58,Jasa Angkutan Darat Jalan Raya,16263.97128,80.91528,0,0,0,0,0,0,0,0,11328.1392,4854.9168,0,0,0
59,Jasa Angkutan Laut Untuk Penumpang,21481859.41,107.40876,0,0,0,0,0,0,0,0,15037226.4,6444525.6,0,0,0
60,Jasa Angkutan Laut Untuk Barang,520.6805,0.2916675,0.0069136,0,0,0.79225535,1.06966355,267.867432,0,0,6.170388,244.48218,0,0,0
61,Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Penumpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Barang,6.1455,0.0034425,0.0000816,0,0,0.00935085,0.01262505,3.161592,0,0,0.072828,2.88558,0,0,0
63,Jasa Angkutan Udara Untuk Penumpang,204393.0563,282.83172,0,0,0,0,0,0,0,102055.1123,71415.0093,30640.103,0,0,0
64,Jasa Angkutan Udara Untuk Barang,4.4585,0.0024975,0.0000592,0,0,0.00678395,0.00915935,2.293704,0,0,0.052836,2.09346,0,0,0
65,Jasa Penunjang Angkutan,94.3515,0.0528525,0.0012528,0,0,0.14356305,0.19383165,48.539736,0,0,1.118124,44.30214,0,0,0
66,Penyediaan Akomodasi,938.475,0,0,0,0,0,0,0,0,0,656.9325,281.5425,0,0,0
67,Penyediaan Makan Dan Minum,1163461.351,12.0292,0,2.074,0,4.7702,4.9776,0,0,0,814406.25,349031.25,0,0,0
68,Jasa Informasi Dan Komunikasi ,1435.5165,0.8041275,0.0190608,0,0,2.18424855,2.94906315,738.510696,0,0,17.011764,674.03754,0,0,0
69,Jasa Keuangan Perbankan,1076.4265,0.6029775,0.0142928,0,0,1.63786555,2.21136415,553.774536,0,0,12.756324,505.42914,0,0,0
70,Jasa Keuangan Lainnya,133.032,0.07452,0.0017664,0,0,0.2024184,0.2732952,68.439168,0,0,1.576512,62.46432,0,0,0
71,Jasa Asuransi Dan Dana Pensiun,6.1455,0.0034425,0.0000816,0,0,0.00935085,0.01262505,3.161592,0,0,0.072828,2.88558,0,0,0
72,Jasa Penunjang Keuangan,0.1205,0.0000675,0.0000016,0,0,0.00018335,0.00024755,0.061992,0,0,0.001428,0.05658,0,0,0
73,Jasa Real Estate,267.028,0.14958,0.0035456,0,0,0.4063036,0.5485708,137.374272,0,0,3.164448,125.38128,0,0,0
74,Jasa Hukum Dan Akuntansi,117.7285,0.0659475,0.0015632,0,0,0.17913295,0.24185635,60.566184,0,0,1.395156,55.27866,0,0,0
75,"Jasa Ahli, Teknis Dan Jasa Bisnis Lainnya ",4.097,0.002295,0.0000544,0,0,0.0062339,0.0084167,2.107728,0,0,0.048552,1.92372,0,0,0
76,Jasa Persewaan,228.95,0.12825,0.00304,0,0,0.348365,0.470345,117.7848,0,0,2.7132,107.502,0,0,0
77,Jasa Pendukung,6.507,0.003645,0.0000864,0,0,0.0099009,0.0133677,3.347568,0,0,0.077112,3.05532,0,0,0
78,Pemerintahan Umum,14424.814,8.08029,0.1915328,0,0,21.9484618,29.6337154,7420.938336,0,0,170.943024,6773.07864,0,0,0
79,Jasa Pendidikan Pemerintah,2637.745,1.477575,0.035024,0,0,4.0135315,5.4188695,1357.00488,0,0,31.25892,1238.5362,0,0,0
80,Jasa Pendidikan Swasta,206.8985,0.1158975,0.0027472,0,0,0.31481195,0.42504335,106.440264,0,0,2.451876,97.14786,0,0,0
81,Jasa Kesehatan Dan Kegiatan Sosial Pemerintah,1732.067,0.970245,0.0229984,0,0,2.6354729,3.5582837,891.073008,0,0,20.526072,813.28092,0,0,0
82,Jasa Kesehatan Swasta,47.959,0.026865,0.0006368,0,0,0.0729733,0.0985249,24.672816,0,0,0.568344,22.51884,0,0,0
83,"Kesenian, Hiburan Dan Rekreasi",29.402,0.01647,0.0003904,0,0,0.0447374,0.0604022,15.126048,0,0,0.348432,13.80552,0,0,0
84,Jasa Lainnya,442.717,0.247995,0.0058784,0,0,0.6736279,0.9094987,227.758608,0,0,5.246472,207.87492,0,0,0
