Sektor,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LRC,LPC
Produk Kimia Farmasi dan Obat Tradisional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.145236385,6.885326983
Produk olahan Karet Barang dari Karet dan Plastik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.100380634,9.962080967
Barang Galian bukan Logam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.002503968,399.3660927
Produk olahan Logam Dasar dan Industri Barang dari Logam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.002633763,379.6848324
Alat Angkutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.160598973,6.22668987
Furnitur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.064462039,15.51300605
Produk pengolahan lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.025964637,38.51392196
Listrik Gas dan Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.006137394,162.9356109
Konstruksi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,8.58829E-05,11643.76525
Jasa Perdagangan Mobil Sepeda Motor dan Reparasinya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.001103224,906.4341454
Jasa Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000159911,6253.488459
Jasa Angkutan Darat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.001049912,952.4608903
Jasa Angkutan Laut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.005244921,190.6606521
Jasa Angkutan Sungai Danau dan Penyeberangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.008041813,124.3500641
Jasa Angkutan Udara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.007016664,142.5178604
Jasa Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.014677651,68.13079319
Jasa Penyediaan Akomodasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.024985811,40.02271478
Jasa Penyediaan Makan Minum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.003758993,266.0286683
Jasa Informasi dan Komunikasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000296517,3372.483605
Jasa Perantara Keuangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000874539,1143.459425
Jasa Asuransi Dana Pensiun dan jasa penunjang keuangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.127655594,7.833577578
Jasa Keuangan Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.003375531,296.2496794
Jasa Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000540478,1850.212859
Jasa Perusahaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.013447701,74.36215424
Jasa Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000137387,7278.687489
Jasa Pendidikan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000233624,4280.387617
Jasa Kesehatan dan Kegiatan Sosial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000426134,2346.677322
Jasa lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.2352941,0,0,0,0,0,642.2352941,0.000739111,1352.977652
Kegiatan yang tak jelas batasnya,256214.4,339154.9,0,130.2,0,2963.1,0,29204.6,114117.6,857.6,11470.2,7180.3,57802.05,0,0,0,1834.5,9020.9,73.5,0,0,830023.85,0,0
