ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
21,"Tuna, Cakalang, Tongkol, Selar, dan Layang",3437.752852,0.1911711,0.10985205,0,0,11.81979525,1.6720338,3326.719536,0,0,14.038236,83.202228,0,0,0
22,Kakap dan Kerapu,177.5925316,0.0098758,0.0056749,0,0,0.6106045,0.0863764,171.856608,0,0,0.725208,4.298184,0,0,0
23,Udang,77.4708262,0.0043081,0.00247555,0,0,0.26636275,0.0376798,74.968656,0,0,0.316356,1.874988,0,0,0
24,Nila,237.7137482,0.0132191,0.00759605,0,0,0.81731525,0.1156178,230.036016,0,0,0.970716,5.753268,0,0,0
25,Bandeng,382.6552784,0.0212792,0.0122276,0,0,1.315658,0.1861136,370.296192,0,0,1.562592,9.261216,0,0,0
26,Perikanan Lainnya,5017.132378,0,0,2183.246189,0,0,2183.246189,632.161824,0,0,2.667624,15.810552,0,0,0
27,Pertambangan dan Penggalian ,777.3588968,0.0432284,0.0248402,0,0,2.672741,0.3780872,752.251584,0,0,3.174384,18.814032,0,0,0
28,Industri Batubara dan Pengilangan Migas,31121.9638,0,2945.324601,238.3590286,0,0,2379.777408,0,0,0,0,21550.92953,0,4007.573233,0
29,Pemotongan Hewan,284.5817908,0.0158254,0.0090937,0,0,0.9784585,0.1384132,275.390304,0,0,1.162104,6.887592,0,0,0
30,Kopra,99.1578382,0.0055141,0.00316855,0,0,0.34092775,0.0482278,95.955216,0,0,0.404916,2.399868,0,0,0
31,Penggilingan Padi dan Penyosohan Beras,616.875008,0.034304,0.019712,0,0,2.12096,0.300032,596.95104,0,0,2.51904,14.92992,0,0,0
32,Gula,648.3211754,0.0360527,0.02071685,0,0,2.22907925,0.3153266,627.381552,0,0,2.647452,15.690996,0,0,0
33,Industri Makanan Lainnya dan Minuman,563.7418286,0.0313493,0.01801415,0,0,1.93827575,0.2741894,545.533968,0,0,2.302068,13.643964,0,0,0
34,Industri Kain Kerawang,11.8073732,0.0006566,0.0003773,0,0,0.0405965,0.0057428,11.426016,0,0,0.048216,0.285768,0,0,0
35,Industri Tekstil dan Pakaian Jadi Lainnya,36.3859868,0.0020234,0.0011627,0,0,0.1251035,0.0176972,35.210784,0,0,0.148584,0.880632,0,0,0
36,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",493.1385562,0.0274231,0.01575805,0,0,1.69552525,0.2398498,477.211056,0,0,2.013756,11.935188,0,0,0
37,Industri Barang Galian bukan Logam,230.9666778,0.0128439,0.00738045,0,0,0.79411725,0.1123362,223.506864,0,0,0.943164,5.589972,0,0,0
38,Industri Furnitur,331.6908002,0.0184451,0.01059905,0,0,1.14043025,0.1613258,320.977776,0,0,1.354476,8.027748,0,0,0
39,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",138.3149432,0.0076916,0.0044198,0,0,0.475559,0.0672728,133.847616,0,0,0.564816,3.347568,0,0,0
40,Pengadaan Listrik Gas dan Air,93187.27653,18.7497197,3.10046811,10191.04311,0,333.3507033,47.16063174,80246.19288,0,0,338.62638,2008.912518,0,0,0.140121987
41,Konstruksi,4975.96442,0.27671,0.159005,0,0,17.108525,2.42018,4815.2496,0,0,20.3196,120.4308,0,0,0
42,Perdagangan Mobil Sepeda Motor dan Reparasinya,751.9368994,0.0418147,0.02402785,0,0,2.58533425,0.3657226,727.650672,0,0,3.070572,18.198756,0,0,0
43,Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,2711.23795,0.1507701,0.08663655,0,0,9.32186775,1.3186758,2623.669776,0,0,11.071476,65.618748,0,0,0
44,Angkutan Darat,50182.29324,251.73324,0,0,0,0,0,0,0,0,34951.392,14979.168,0,0,0
45,Angkutan Laut Sungai Danau dan Penyeberangan,272761.3752,1.375165,0,0,0,0,0,0,0,0,190932,81828,0,0,0
46,Angkutan Udara,38163.58353,53.221608,0,0,0,0,0,0,0,19055.18096,13338.62667,5716.554288,0,0,0
47,Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,198.0747096,0.0110148,0.0063294,0,0,0.681027,0.0963384,191.677248,0,0,0.808848,4.793904,0,0,0
48,Penyediaan Akomodasi,422.325,0,0,0,0,0,0,0,0,0,295.6275,126.6975,0,0,0
49,Penyediaan Makan Minum,38.886046,0.443023,0,0.07974414,0,0.1772092,0.18606966,0,0,0,26.6,11.4,0,0,0
50,Informasi dan Komunikasi,1504.117864,0.2072178,0.04805955,0,0,5.17108275,0.7315038,1455.417936,0,0,6.141636,36.400428,0,0,0
51,Jasa Keuangan dan Asuransi,2413.601292,0.3325146,0.07711935,0,0,8.29784175,1.1738166,2335.454352,0,0,9.855252,58.410396,0,0,0
52,Real Estate dan Jasa Perusahaan,398.1098632,0.0548464,0.0127204,0,0,1.368682,0.1936144,385.219968,0,0,1.625568,9.634464,0,0,0
53,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,6734.85251,0.9278404,0.2151919,0,0,23.1540895,3.2753884,6516.793248,0,0,27.499848,162.986904,0,0,0
54,Jasa Pendidikan Jasa Kesehatan dan Kegiatan Sosial,4196.902132,0.5781946,0.13409935,0,0,14.42874175,2.0410966,4061.015952,0,0,17.136852,101.567196,0,0,0
55,Jasa Lainnya,1930.664146,0.2659818,0.06168855,0,0,6.63752775,0.9389478,1868.153616,0,0,7.883316,46.723068,0,0,0
